Case Ref No,Advisory Letter,Directions,Formal Warning,PINS,Prosecution
00356-2020,,,1,,
00357-2017,,1,,1,
00357-2018,,1,,2,
00359-2015,2,4,,,
00359-2018,,2,1,,
00359-2019,1,,,,
00360-2020,1,,,,
00363-2016,1,,,,
00363-2020,2,,,,
00365-2018,,,1,,
00365-2020,,,1,2,
00367-2019,1,,,,
00368-2019,1,,,,
00368-2020,1,,,,
00370-2018,1,,,,
00372-2015,2,1,,,
00372-2019,,1,,2,
00376-2017,,,1,,
00377-2019,,,,,
00380-2018,1,,,,
00381-2019,,,1,,
00382-2017,1,,,,
00383-2016,,2,,,
00385-2019,1,,,,
00386-2019,,,1,,
00389-2017,,2,,2,
00390-2018,,,,1,
00391-2018,1,,,,
00393-2018,1,,,,
00394-2017,,1,,2,
00395-2020,1,,,,
00396-2016,,,3,,
00396-2018,1,,,,
00396-2019,2,,1,,
00397-2017,3,,,,
00398-2018,,1,,1,
00399-2017,,,1,,
00400-2017,1,,,,
00401-2018,,,1,,
00402-2017,2,,,,
00404-2018,,1,,1,
00405-2016,1,,,,
00405-2017,,,,,
00406-2017,,2,,,
00406-2020,1,,,,
00407-2018,1,,,,
00407-2020,,,,1,
00408-2020,,,2,,
00409-2018,1,,,,
00410-2016,1,,1,,
00410-2018,1,,1,,
00410-2019,3,,,,
00411-2016,,2,1,,
00411-2018,1,,,,
00412-2019,2,,,,
00412-2020,1,,,,
00413-2019,,,1,2,
00414-2020,,,1,,
00415-2018,,,1,,
00415-2020,1,,,,
00416-2018,2,,,,
00417-2017,,1,,,1
00417-2018,,,1,,
00417-2019,1,,1,,
00420-2017,1,,,,
00420-2019,2,,,,
00421-2018,,,,,
00422-2019,,1,,,
00423-2015,2,,,,
00425-2017,,5,1,1,
00427-2020,2,1,1,,
00431-2017,,,1,,
00433-2017,1,,,,
00434-2017,1,,,,
00434-2019,,,2,,
00434-2020,,1,,1,
00435-2018,1,,,,
00435-2019,1,,,,
00436-2019,,,,1,
00436-2020,,2,,2,
00437-2019,,,,1,
00438-2017,1,,,,
00440-2019,,,,1,
00440-2020,,,3,,
00441-2016,3,,,1,
00441-2017,,,1,,
00441-2018,,,,1,
00441-2019,,,,2,
00443-2016,2,,,,
00443-2017,,,,,1
00444-2016,1,,,,
00444-2018,2,,,,
00444-2020,1,,,,
00447-2017,1,,,,
00447-2019,,,1,2,
00448-2018,2,,,,
00448-2020,1,,,,
00449-2020,1,,,1,
00450-2017,1,,,,
00451-2018,1,,,,
00452-2019,1,,1,,
00453-2018,1,,1,,
00454-2019,,2,,3,
00455-2017,2,,1,,
00455-2018,,2,,,
00456-2017,1,,,,
00456-2018,,1,,1,
00456-2019,1,,,,
00457-2014,1,,,,
00457-2018,,1,,,
00458-2020,,1,,,
00459-2017,,,,1,
00460-2016,1,,,,
00460-2017,,1,,1,
00460-2018,1,,,1,
00463-2018,1,,,1,
00465-2019,,,1,,
00465-2020,1,,3,1,
00466-2020,,,,1,
00467-2016,3,,,,
00467-2018,,,1,,
00467-2019,,,1,,
00467-2020,,2,1,2,
00468-2019,1,,,,
00469-2020,1,,,,
00470-2017,1,,,,
00470-2019,,1,,1,
00471-2019,1,,,,
00475-2016,,,2,,
00475-2019,1,,,,
00477-2016,1,,,,
00477-2017,1,,,,
00477-2018,,,1,,
00479-2016,,3,,,
00480-2019,,3,1,1,
00481-2020,,,,1,
00482-2018,,10,,,1
00485-2017,,1,,,
00485-2019,,,1,,
00485-2020,,,,1,
00487-2016,,1,,,
00487-2017,1,2,,,
00489-2017,2,,,,
00489-2019,,,1,,
00490-2020,,,1,,
00491-2018,,,1,,
00491-2020,,,1,,
00492-2016,,,,1,
00492-2020,1,,,,
00494-2018,2,,,,
00495-2017,,2,,,
00495-2018,,,1,,
00495-2020,,,1,,
00496-2018,1,,,,
00496-2020,1,,,,
00497-2020,1,,,,
00500-2018,1,,,,
00500-2019,1,,,,
00501-2018,1,,,,
00502-2017,,,1,,
00502-2019,1,,,,
00503-2017,1,,,,
00504-2017,2,,,,
00504-2018,1,,,,
00505-2019,1,,,,
00506-2016,,1,3,,
00506-2019,1,,,,
00510-2018,1,,,,
00510-2019,,,,1,
00511-2019,,,2,,
00511-2020,1,,,,
00513-2020,1,,,,
00514-2017,2,1,,1,
00514-2018,1,,,,
00516-2019,,,1,,
00517-2017,1,,,,
00518-2015,1,,,2,
00518-2020,1,,,,
00519-2016,,,,1,
00519-2020,1,,,,
00520-2019,1,,5,4,
